alpha,nueff,alpha100,nucor
0.5058162607330984,2.516680230809189,50.581626073309835,2.516680230809189e-06
0.5075061895143658,2.528658793410668,50.75061895143658,2.5286587934106678e-06
0.5099944263281867,2.550892875663082,50.99944263281867,2.550892875663082e-06
0.5124467583367062,2.5758380590881216,51.24467583367062,2.5758380590881216e-06
0.5150062904887075,2.592648167909713,51.50062904887075,2.592648167909713e-06
0.5175029898267842,2.610515192845222,51.75029898267842,2.610515192845222e-06
0.5199969298645631,2.6277034373730883,51.99969298645632,2.6277034373730883e-06
0.5225030129349376,2.644060310656072,52.25030129349376,2.644060310656072e-06
0.5249996275632739,2.584304862256821,52.49996275632739,2.584304862256821e-06
0.527480061478128,0.4886931769751881,52.748006147812795,4.886931769751881e-07
0.5300114638356188,0.3992344958448597,53.00114638356188,3.992344958448597e-07
0.5323612061746098,0.4016358502398029,53.23612061746098,4.016358502398029e-07
0.5349928124736385,0.4018669041647621,53.499281247363854,4.0186690416476207e-07
0.5375012063328688,0.4035290106141099,53.75012063328688,4.0352901061410987e-07
0.5400051815273698,0.4052474282631341,54.00051815273697,4.0524742826313406e-07
0.5424978721471715,0.4069974124586915,54.24978721471715,4.0699741245869144e-07
0.5450130933161657,0.40994144670663424,54.50130933161657,4.099414467066342e-07
0.5474972510391104,0.410471481492306,54.74972510391104,4.10471481492306e-07
0.549998976863906,0.4134926109659979,54.9998976863906,4.1349261096599785e-07
0.5525053757297548,0.4131933020729239,55.250537572975475,4.1319330207292384e-07
0.5550081601029353,0.4164067219982836,55.50081601029353,4.1640672199828357e-07
0.5575021726694965,0.4193367247996541,55.750217266949655,4.193367247996541e-07
0.5599961956785021,0.4218015887497161,55.99961956785021,4.218015887497161e-07
0.5624447944219023,0.4254920517826623,56.24447944219023,4.2549205178266226e-07
0.5649976626443106,0.4269068656615843,56.49976626443106,4.269068656615843e-07
0.5674975896056184,0.43161980285218254,56.749758960561834,4.316198028521825e-07
0.5700001531000567,0.4325818815304255,57.00001531000567,4.3258188153042545e-07
0.572484234922597,0.43494430541889895,57.248423492259704,4.3494430541889893e-07
0.5749877888960709,0.43838059814601416,57.498778889607095,4.383805981460141e-07
0.5775070417921215,0.4428130029047309,57.75070417921215,4.428130029047309e-07
0.5800061144103942,0.4447977808525433,58.00061144103942,4.4479778085254327e-07
0.5825046100902376,0.4477603599725521,58.25046100902376,4.4776035997255207e-07
0.5851937440153187,0.456016186845655,58.51937440153186,4.5601618684565494e-07
0.5875186516431636,0.4576911852717556,58.751865164316364,4.576911852717556e-07
0.5900003583265571,0.4605562934250095,59.000035832655705,4.6055629342500946e-07
0.592510438482919,0.4638404451977107,59.25104384829189,4.638404451977107e-07
0.5949968968255597,0.4667690635558577,59.49968968255597,4.667690635558577e-07
0.5974908339013844,0.4728089147361117,59.74908339013844,4.728089147361117e-07
0.5999907613879888,0.4730090366280513,59.99907613879888,4.730090366280513e-07
0.6024950694212616,0.4778523666595633,60.24950694212616,4.778523666595633e-07
0.6050051295104114,0.478513471029192,60.50051295104114,4.785134710291919e-07
0.6074846950647497,0.4795577606933353,60.74846950647497,4.795577606933352e-07
0.6100129049305176,0.4858387191452929,61.00129049305176,4.858387191452929e-07
0.6125008092824167,0.4888888699989737,61.250080928241665,4.888888699989737e-07
0.6149898580219807,0.4917020301839326,61.49898580219807,4.917020301839326e-07
0.6175119987530668,0.4935819805057264,61.75119987530668,4.935819805057264e-07
0.6199859249493952,0.4958266705447856,61.99859249493952,4.958266705447856e-07
0.6224897154461401,0.4987638397208543,62.24897154461401,4.987638397208543e-07
0.6250020044937981,0.5042977629337597,62.500200449379804,5.042977629337597e-07
0.6275113274268014,0.5026997782553988,62.75113274268014,5.026997782553988e-07
0.6300079218817546,0.5021755642204534,63.00079218817546,5.021755642204534e-07
0.632502093770964,0.5067277660121827,63.2502093770964,5.067277660121828e-07
0.6349856431878647,0.5085159919457943,63.498564318786464,5.085159919457943e-07
0.6374657053519002,0.5111152929225036,63.74657053519002,5.111152929225035e-07
0.6399998594720373,0.5131965692326425,63.99998594720373,5.131965692326424e-07
0.6424969231913992,0.5142959957558318,64.24969231913991,5.142959957558318e-07
0.6450028488632338,0.5140752780668677,64.50028488632339,5.140752780668677e-07
0.6475020511859099,0.5152344262343956,64.75020511859098,5.152344262343956e-07
0.6500005620878585,0.5162818333353761,65.00005620878585,5.162818333353761e-07
0.6525354553761284,0.5185095712176548,65.25354553761285,5.185095712176548e-07
0.6549579266068771,0.5446410604070769,65.49579266068771,5.44641060407077e-07
0.6575059088667238,0.5786382915520943,65.75059088667238,5.786382915520943e-07
0.6600048964418852,0.5907108247412879,66.00048964418852,5.907108247412879e-07
0.6625091410767906,0.6067381735189011,66.25091410767907,6.067381735189011e-07
0.665002867019111,0.6185919111749096,66.50028670191111,6.185919111749096e-07
0.6674656513120968,0.6211191196196876,66.74656513120968,6.211191196196876e-07
0.6700073700455722,0.6286461675058296,67.00073700455722,6.286461675058295e-07
0.6724722707229381,0.6353579928188475,67.24722707229381,6.353579928188475e-07
0.6750009564730707,0.6338379532747195,67.50009564730706,6.338379532747195e-07
0.6775048719632664,0.6369461650786337,67.75048719632663,6.369461650786336e-07
0.6800078840614103,0.6403405848035976,68.00078840614103,6.403405848035975e-07
0.6824932033673118,0.6433055813207675,68.24932033673117,6.433055813207675e-07
0.6850132150876832,0.6469236688615756,68.50132150876831,6.469236688615755e-07
0.6875306436431975,0.6429759295094402,68.75306436431975,6.429759295094401e-07
0.6900312243275849,0.6489786243712562,69.00312243275849,6.489786243712561e-07
0.6925124736633902,0.6513692872015839,69.25124736633902,6.513692872015839e-07
0.6950151302479582,0.6492837721289548,69.50151302479583,6.492837721289548e-07
0.6974918851985334,0.6565538182441255,69.74918851985335,6.565538182441254e-07
0.6999804373628669,0.6577078283104375,69.99804373628669,6.577078283104375e-07
0.7024949263622667,0.6608513686944417,70.24949263622668,6.608513686944417e-07
0.7049960527605386,0.6637436309412571,70.49960527605386,6.637436309412571e-07
0.7075229902608912,0.6633761190133829,70.75229902608912,6.633761190133829e-07
0.7100274787349389,0.6678374320895525,71.00274787349389,6.678374320895525e-07
0.7125013583422127,0.6655469666566102,71.25013583422127,6.655469666566101e-07
0.7149774214009559,0.6670393830977712,71.49774214009558,6.670393830977712e-07
0.7174970976157574,0.666480917506768,71.74970976157574,6.66480917506768e-07
0.720015316546756,0.6701448120686535,72.0015316546756,6.701448120686535e-07
0.7225197249187819,0.6752789995359474,72.25197249187819,6.752789995359474e-07
0.7250171204197523,0.6742622388415092,72.50171204197522,6.742622388415091e-07
0.7274875841365837,0.6794385673173517,72.74875841365836,6.794385673173517e-07
0.7299708825191045,0.6764914608333648,72.99708825191044,6.764914608333647e-07
0.7325155260249692,0.6857609168030125,73.25155260249691,6.857609168030125e-07
0.7349985934265452,0.6828355979050692,73.49985934265452,6.828355979050692e-07
0.7374445089017483,0.6833344305464688,73.74445089017483,6.833344305464688e-07
0.7389172018851854,0.6893290270424222,73.89172018851853,6.893290270424221e-07
