bins,hist,std,stdmin,stdmax
-90.89999999999996,0.38102383267043716,0.016284140201701134,0.36473969246873605,0.3973079728721383
-89.1,0.3857466087971971,0.01723073233592141,0.36851587646127565,0.4029773411331185
-87.30000000000003,0.3922430878489834,0.016527172552947618,0.3757159152960357,0.40877026040193093
-85.5,0.3916059626895572,0.016897200280949366,0.3747087624086079,0.4085031629705066
-83.69999999999997,0.3975438864079966,0.0186801797312495,0.3788637066767471,0.4162240661392462
-81.9,0.4008413634426042,0.014116859437550257,0.3867245040050539,0.41495822288015444
-80.1,0.4014463646032695,0.015605901495874737,0.3858404631073947,0.41705226609914425
-78.30000000000003,0.4071904980891195,0.015407603832178459,0.391782894256941,0.42259810192129804
-76.5,0.4075873881162969,0.012972712216837521,0.39461467589945937,0.4205601003331344
-74.69999999999997,0.4102358337114806,0.015090603315976295,0.3951452303955043,0.42532643702745687
-72.9,0.40968023964639955,0.010709327468416937,0.39897091217798264,0.4203895671148165
-71.1,0.408378731315462,0.01158532551627462,0.3967934057991873,0.41996405683173654
-69.30000000000001,0.4098299463059808,0.012025941611982578,0.39780400469399824,0.4218558879179634
-67.5,0.40637196802528003,0.008428248260375266,0.3979437197649047,0.4148002162856553
-65.69999999999999,0.406279414208626,0.006139335563575524,0.40014007864505047,0.4124187497722015
-63.9,0.4030309016046813,0.0050657100074222436,0.397965191597259,0.4080966116121036
-62.1,0.40112433463724256,0.004843938468731236,0.3962803961685113,0.40596827310597383
-60.3,0.3994213938668893,0.0034999683555123214,0.39592142551137693,0.4029213622224016
-58.5,0.39855023161411146,0.004412263634984114,0.3941379679791274,0.4029624952490956
-56.7,0.3979673487069568,0.004407161392028735,0.3935601873149281,0.40237451009898556
-54.9,0.3974413808453355,0.005800651290913331,0.39164072955442214,0.40324203213624876
-53.1,0.39423686241808054,0.006810052628604688,0.38742680978947586,0.40104691504668527
-51.3,0.3943042226757092,0.0045480450617089606,0.3897561776140002,0.3988522677374182
-49.5,0.3916557030704525,0.006285227528621808,0.38537047554183074,0.3979409305990743
-47.7,0.38944064718666643,0.00777409129934441,0.38166655588732196,0.39721473848601085
-45.9,0.38731895758491985,0.01011760620744021,0.3772013513774796,0.3974365637923601
-44.1,0.38126975828752463,0.008221928269580734,0.3730478300179439,0.38949168655710537
-42.3,0.3751920006991954,0.009411191092125413,0.36578080960707,0.38460319179132074
-40.5,0.37400573321740166,0.010909643392673156,0.3630960898247285,0.3849153766100748
-38.7,0.36996120563879165,0.008679600737323405,0.3612816049014682,0.3786408063761151
-36.9,0.3652543389070451,0.011290847749321644,0.3539634911577235,0.37654518665636677
-35.099999999999994,0.3601637470297951,0.007172438208549455,0.35299130882124563,0.36733618523834455
-33.3,0.3533073817030026,0.009666306427852362,0.3436410752751502,0.36297368813085495
-31.5,0.3467988926679508,0.009486222602440053,0.33731267006551074,0.35628511527039086
-29.7,0.3436704412588542,0.010238464820817174,0.33343197643803707,0.3539089060796714
-27.9,0.338230090276538,0.00772316182730277,0.33050692844923524,0.34595325210384076
-26.1,0.33304627303410345,0.007272959828246416,0.32577331320585706,0.34031923286234983
-24.3,0.3272326700914842,0.010674220734959033,0.31655844935652516,0.3379068908264432
-22.499999999999996,0.32302495438576373,0.009037421601515,0.3139875327842487,0.33206237598727867
-20.7,0.31648562688081344,0.007822292917373021,0.3086633339634404,0.3243079197981864
-18.9,0.31197101575262043,0.006490901720729342,0.3054801140318911,0.3184619174733498
-17.1,0.30948008344223193,0.005555357371192479,0.3039247260710395,0.3150354408134244
-15.299999999999995,0.3035354985579215,0.006682953002922722,0.29685254555499874,0.3102184515608442
-13.499999999999993,0.29810020691563954,0.005270236605637512,0.292829970310002,0.30337044352127707
-11.699999999999996,0.29590086163486573,0.007498692880709237,0.2884021687541565,0.303399554515575
-9.9,0.29213633700573244,0.007063000140712194,0.28507333686502023,0.2991993371464446
-8.100000000000001,0.2853827437575282,0.005789525958109155,0.27959321779941904,0.29117226971563737
-6.299999999999998,0.2796523147343217,0.005980835712464623,0.2736714790218571,0.2856331504467863
-4.499999999999994,0.27453277905944906,0.005438246011158597,0.2690945330482905,0.27997102507060767
-2.699999999999996,0.2706110886117271,0.004145372301525383,0.2664657163102017,0.2747564609132525
-0.8999999999999986,0.2671193057337831,0.0037287994876014,0.2633905062461817,0.2708481052213845
0.8999999999999986,0.2645928064341114,0.005501252233160026,0.2590915542009514,0.2700940586672715
2.700000000000003,0.2590322659056866,0.005194329316490365,0.2538379365891963,0.264226595222177
4.500000000000006,0.25456903958792215,0.006300992248074176,0.24826804733984795,0.2608700318359963
6.300000000000003,0.2538275499702687,0.005258730832474693,0.248568819137794,0.25908628080274343
8.100000000000001,0.25016598449017974,0.003724780056420698,0.24644120443375903,0.2538907645466005
9.9,0.24977402862014486,0.005871770254837706,0.24390225836530716,0.25564579887498257
11.700000000000005,0.24521772461439093,0.004745036213300519,0.24047268840109043,0.24996276082769148
13.500000000000007,0.24339859358453284,0.0039738800046145,0.23942471357991832,0.24737247358914732
15.300000000000004,0.24057794575034272,0.006408511110087896,0.23416943464025483,0.2469864568604306
17.1,0.2388015641914883,0.005258952006122554,0.23354261218536573,0.24406051619761085
18.9,0.23510679014785724,0.00547615274376064,0.22963063740409664,0.24058294289161786
20.700000000000006,0.23448582106464239,0.005799612648019312,0.22868620841662307,0.24028543371266167
22.50000000000001,0.23168472290759592,0.005375074973209617,0.22630964793438632,0.23705979788080556
24.300000000000004,0.23285206107085182,0.0061795219137505695,0.22667253915710125,0.23903158298460236
26.1,0.23204198718281777,0.003561226011808835,0.22848076117100896,0.2356032131946266
27.9,0.23148115178236495,0.007350392366980112,0.22413075941538482,0.23883154414934507
29.700000000000006,0.23273903310643,0.007959220009197807,0.22477981309723222,0.24069825311562776
31.50000000000001,0.23256662796443933,0.008454230705190456,0.22411239725924884,0.2410208586696298
33.300000000000004,0.23347131801326207,0.005396877718788232,0.22807444029447382,0.2388681957320503
35.1,0.2348560783483688,0.005876520947184136,0.22897955740118467,0.24073259929555296
36.9,0.2350300770720992,0.005839282877870269,0.22919079419422894,0.24086935994996944
38.7,0.2373986062246404,0.005479387973170559,0.23191921825146983,0.24287799419781098
40.5,0.23950847636559824,0.005532014374371037,0.23397646199122718,0.24504049073996928
42.30000000000001,0.2398056684805271,0.006108547167597351,0.23369712131292975,0.24591421564812443
44.10000000000001,0.24390711869164475,0.007601803689648788,0.23630531500199592,0.2515089223812935
45.90000000000001,0.24484378635240014,0.006690795765769747,0.23815299058663036,0.25153458211816987
47.7,0.2503488968904492,0.0045192778503464984,0.2458296190401027,0.2548681747407957
49.5,0.2497456074157211,0.005746642250678458,0.24399896516504266,0.25549224966639955
51.30000000000001,0.2537365217846743,0.003975725626708074,0.24976079615796626,0.2577122474113824
53.10000000000001,0.25757500980932985,0.0055163585135305036,0.2520586512957993,0.26309136832286034
54.90000000000001,0.26140598465906567,0.004843606370594826,0.25656237828847084,0.26624959102966045
56.7,0.2667310061985317,0.005574663319346261,0.26115634287918543,0.27230566951787794
58.5,0.27171754574577717,0.003111833852723656,0.2686057118930535,0.27482937959850084
60.30000000000001,0.2760925314939454,0.0046789466967855275,0.2714135847971599,0.2807714781907309
62.10000000000001,0.2840580862073313,0.0054761848935375905,0.27858190131379373,0.2895342711008689
63.90000000000001,0.29303307307529664,0.0026249714087782346,0.29040810166651837,0.29565804448407484
65.7,0.29943412888861703,0.004982269629488531,0.2944518592591285,0.3044163985181056
67.5,0.3084441293182813,0.006899494769311512,0.3015446345489698,0.31534362408759276
69.30000000000001,0.3157727877033891,0.00951490251732711,0.306257885186062,0.3252876902207162
71.10000000000002,0.32443995719421886,0.009275231844535927,0.31516472534968293,0.3337151890387548
72.9,0.3305134843224735,0.011430270414680593,0.3190832139077929,0.34194375473715405
74.7,0.336302555294202,0.013297681144730306,0.32300487414947165,0.3496002364389323
76.5,0.3443368534902417,0.011335065674274494,0.3330017878159671,0.3556719191645162
78.30000000000003,0.34646733294189175,0.010137501880442431,0.33632983106144937,0.35660483482233424
80.10000000000002,0.35184880980382366,0.013423269401234079,0.3384255404025896,0.3652720792050577
81.9,0.3594581149890329,0.015419013962169124,0.34403910102686375,0.374877128951202
83.7,0.3651285465368754,0.015078616772156246,0.35004992976471916,0.38020716330903165
85.5,0.37123914393450924,0.017802352255718558,0.35343679167879066,0.3890414961902277
87.30000000000003,0.3748592233829613,0.015572645383448498,0.35928657799951286,0.39043186876640984
89.10000000000002,0.38102383267043716,0.016284140201701134,0.36473969246873605,0.3973079728721383
90.89999999999999,0.3857466087971971,0.01723073233592141,0.36851587646127565,0.4029773411331185
